name,url,total_fights,wins,losses,draw,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedown_attempted,sig_str_landed,sig_str_absorbed,takedown_avg,submission_avg,sig_str_def,takedown_def,knockdown_avg,avg_fight_time_seconds,str_standing,str_clinch,str_ground,str_head,str_body,str_leg,img
Danny Abbadi,https://www.ufc.com/athlete/danny-abbadi,4,2,2,0,59.0,155.0,0.0,0.0,3.29,4.41,0.0,0.0,58.0,78.0,0.0,538.0,42.0,14.0,3.0,51.0,8.0,0.0,
Nariman Abbassov,https://www.ufc.com/athlete/nariman-abbassov,1,0,1,0,45.0,225.0,0.0,2.0,3.0,5.67,0.0,0.0,46.0,67.0,0.0,900.0,45.0,0.0,0.0,26.0,8.0,11.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-09/ABBASOV_NARIMAN_R.png?itok=fTgYfmwX
Tank Abbott,https://www.ufc.com/athlete/tank-abbott,18,8,10,0,19.0,63.0,0.0,3.0,1.35,3.55,1.07,0.0,38.0,67.0,0.0,141.0,5.0,11.0,3.0,17.0,2.0,0.0,
Hamdy Abdelwahab,https://www.ufc.com/athlete/hamdy-abdelwahab,7,6,1,0,157.0,320.0,3.0,6.0,3.49,4.49,1.33,0.0,52.0,100.0,0.33,900.0,125.0,2.0,30.0,110.0,18.0,29.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-06/ABDELWAHAB_HAMDY_L_06-21.png?itok=l7NzVTNr
Mansur Abdul-Malik,https://www.ufc.com/athlete/mansur-abdul-malik,9,8,0,1,131.0,268.0,0.0,3.0,4.27,3.49,0.49,0.0,51.0,82.0,0.49,460.0,52.0,14.0,65.0,119.0,6.0,6.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-06/ABDUL-MALIK_MANSUR_L_06-14.png?itok=qwFKoGL9
Shamil Abdurakhimov,https://www.ufc.com/athlete/shamil-abdurakhimov,28,20,8,0,251.0,567.0,5.0,30.0,2.41,3.02,1.01,0.14,55.0,45.0,0.29,567.0,169.0,60.0,22.0,149.0,47.0,55.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/ABDURAKHIMOV_SHAMIL_L_02_07.png?itok=61PVqphS
Daichi Abe,https://www.ufc.com/athlete/daichi-abe,7,6,1,0,171.0,508.0,1.0,2.0,3.8,4.49,0.33,0.0,57.0,0.33,15.0,0.0,146.0,11.0,14.0,102.0,12.0,57.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/8c026dcd-60a4-457e-9cb5-b2c20969cd8f%252FDaichi-Abe_635302_LeftFullBodyImage.png?itok=urpTXoD3
Papy Abedi,https://www.ufc.com/athlete/papy-abedi,12,9,3,0,97.0,176.0,0.0,14.0,2.8,3.15,3.47,1.3,49.0,50.0,0.0,519.0,36.0,34.0,27.0,42.0,46.0,9.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/b234b354-8110-42f1-8dc3-e12c64426cce%252FPapy-Abedi_205746_LeftFullBodyImage.png?itok=bFgP0uJv
Klidson Abreu,https://www.ufc.com/athlete/klidson-abreu,19,15,4,0,96.0,236.0,0.0,10.0,2.05,2.9,0.64,0.0,56.0,80.0,0.0,703.0,86.0,10.0,0.0,38.0,20.0,38.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68520/profile-galery/fullbodyleft-picture/ABREU_KLIDSON_L.png?VersionId=BbXEo5JsESM5N88Iv2q7TJdUPAz1J.sR&itok=Pbr4cfCU
Ricardo Abreu,https://www.ufc.com/athlete/ricardo-abreu,6,5,1,0,80.0,252.0,0.0,7.0,3.79,3.98,2.13,0.71,68.0,100.0,1.42,633.0,58.0,13.0,9.0,65.0,10.0,5.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69075/profile-galery/fullbodyleft-picture/ricardo-abreu_477654_LeftFullBodyImage.png?VersionId=LJuqnesMlT3hQ25Nq21MoDD7Nwj8n7Nn&itok=EIomwsXt
