fighter_name,ko/tko_wins,submission_wins,decision_wins,win_streak,lose_streak,longest_win_streak,longest_lose_streak,title_fight_wins,height,reach,weight,stance,dob
Tom Aaron,0,1,1,0,1,1,1,0,['--'],['--'],['155 lbs.'],[''],"['Jul 13, 1978']"
Danny Abbadi,0,1,1,0,2,0,2,0,"['5\' 11""']",['--'],['155 lbs.'],['Orthodox'],"['Jul 03, 1983']"
Nariman Abbasov,0,0,1,0,1,0,1,0,"['5\' 8""']","['66""']",['155 lbs.'],['Orthodox'],"['Feb 01, 1994']"
Darion Abbey,1,0,0,0,1,0,1,0,"['6\' 2""']","['80""']",['265 lbs.'],['Orthodox'],"['Feb 25, 1993']"
David Abbott,10,8,3,0,7,2,7,0,"['6\' 0""']",['--'],['265 lbs.'],['Switch'],"['Apr 26, 1965']"
Hamdy Abdelwahab,0,0,3,1,0,1,1,0,"['6\' 2""']","['72""']",['265 lbs.'],['Southpaw'],"['Jan 22, 1993']"
Mansur Abdul-Malik,3,0,0,0,0,3,0,0,"['6\' 2""']","['80""']",['185 lbs.'],['Orthodox'],"['Oct 07, 1997']"
Shamil Abdurakhimov,8,0,3,0,4,3,4,0,"['6\' 3""']","['76""']",['235 lbs.'],['Orthodox'],"['Sep 02, 1981']"
Hiroyuki Abe,0,1,0,0,0,0,1,0,"['5\' 6""']",['--'],['145 lbs.'],['Orthodox'],"['Feb 09, 1970']"
Daichi Abe,0,0,3,0,2,1,2,0,"['5\' 11""']","['71""']",['170 lbs.'],['Orthodox'],"['Nov 27, 1991']"
Papy Abedi,1,2,1,0,1,1,2,0,"['5\' 11""']",['--'],['185 lbs.'],['Southpaw'],"['Jun 30, 1978']"
Ricardo Abreu,0,1,1,0,1,1,1,0,"['5\' 11""']",['--'],['185 lbs.'],['Orthodox'],"['Apr 27, 1984']"
Klidson Abreu,0,0,3,0,0,1,1,0,"['6\' 0""']","['74""']",['205 lbs.'],['Orthodox'],"['Dec 24, 1992']"
unknown,0,0,0,0,0,0,0,0,['--'],['--'],['--'],[''],"['Dec 20, 1980']"
Daniel Acacio,1,1,2,0,2,2,2,0,"['5\' 8""']",['--'],['180 lbs.'],['Orthodox'],"['Dec 27, 1977']"
John Adajar,0,1,0,0,1,0,1,0,"['5\' 9""']","['75""']",['170 lbs.'],['Orthodox'],"['Jun 22, 1991']"
Scott Adams,0,1,0,1,0,1,0,0,"['6\' 0""']",['--'],['225 lbs.'],['Southpaw'],['--']
Juan Adams,4,0,1,0,3,2,3,0,"['6\' 5""']","['80""']",['265 lbs.'],['Orthodox'],"['Jan 16, 1992']"
Anthony Adams,0,0,2,0,2,0,2,0,"['6\' 1""']","['76""']",['185 lbs.'],['Orthodox'],"['Jan 13, 1988']"
Zarrukh Adashev,2,0,2,0,1,1,2,0,"['5\' 5""']","['65""']",['125 lbs.'],['Southpaw'],"['Jul 29, 1992']"
Israel Adesanya,7,1,10,0,3,9,3,8,"['6\' 4""']","['80""']",['185 lbs.'],['Switch'],"['Jul 22, 1989']"
Sam Adkins,2,1,1,0,1,1,1,0,"['6\' 3""']",['--'],['225 lbs.'],['Orthodox'],"['Apr 26, 1965']"
Mohamed Ado,0,1,0,0,1,0,1,0,"['5\' 11""']","['76""']",['170 lbs.'],['Switch'],"['May 03, 2000']"
Nick Agallar,1,0,0,0,1,0,1,0,"['5\' 8""']",['--'],['155 lbs.'],['Orthodox'],"['Jan 13, 1979']"
Mariya Agapova,1,5,1,0,3,1,3,0,"['5\' 6""']","['68""']",['125 lbs.'],['Southpaw'],"['Apr 07, 1997']"
unknown,0,0,0,0,0,0,0,0,['--'],['--'],['135 lbs.'],[''],"['Feb 16, 1992']"
